"Name","Gross Export","Share","Code","Sector"
"Horses","68985","0.0004802540941518985","0101","Agriculture"
"Other live animals","60076","0.0004182321513411532","0106","Agriculture"
"Poultry","11644","0.00008106224066543026","0207","Agriculture"
"Live Fish","5698","0.000039667867340400346","0301","Agriculture"
"Fish, excluding fillets","30145476","0.2098642932399478","0302","Agriculture"
"Frozen fish, excluding fillets","40350992","0.28091221441024145","0303","Agriculture"
"Fish fillets","3049126","0.021227154382619434","0304","Agriculture"
"Preserved fish","2127836","0.014813393501250986","0305","Agriculture"
"Crustaceans","117555160","0.8183858357422845","0306","Agriculture"
"Molluscs","197000","0.0013714583829517143","0307","Agriculture"
"Milk, concentrated","12250","0.00008528104157948477","0402","Agriculture"
"Butter","16503","0.00011488922687234589","0405","Agriculture"
"Cheese","200341","0.0013947174817204539","0406","Agriculture"
"Honey","9878","0.00006876784724262453","0409","Agriculture"
"Bones, simply prepared","2347","0.000016339151394861285","0506","Agriculture"
"Animal products used in pharmaceuticals","556074","0.0038712301971649318","0510","Agriculture"
"Animal products n.e.c.","4005672","0.027886357582512483","0511","Agriculture"
"Cut flowers","5289","0.000036820524809297545","0603","Agriculture"
"Tomatoes","23925","0.00016655909549299374","0702","Agriculture"
"Onions, shallots, garlic","40239","0.00028013255772382756","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","1696","0.000011807073185208667","0704","Agriculture"
"Lettuce","3951","0.000027505746553513824","0705","Agriculture"
"Other vegetables","37033","0.00025781329084188244","0709","Agriculture"
"Frozen vegetables","13251","0.00009224972097712267","0710","Agriculture"
"Legumes, dried","9405719","0.06547996025501632","0713","Agriculture"
"Tubers","16738","0.00011652523052713601","0714","Agriculture"
"Cashew nuts & coconuts","383189","0.0026676536360654033","0801","Agriculture"
"Bananas and plantains","216322","0.0015059726919638616","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","834556","0.005809943260114979","0804","Agriculture"
"Citrus fruit","87369","0.0006082383119802453","0805","Agriculture"
"Melons and papayas","95367","0.0006639181299845488","0807","Agriculture"
"Other fresh fruit","93919","0.0006538375627839698","0810","Agriculture"
"Fruits and nuts, frozen","37388","0.0002602847006182675","0811","Agriculture"
"Coffee","2771675","0.019295618850597423","0901","Agriculture"
"Pepper","3639","0.000025333690637366947","0904","Agriculture"
"Spices","54431","0.00037893325503779066","0910","Agriculture"
"Rice","6003","0.00004179119123278752","1006","Agriculture"
"Other cereals","22881","0.00015929106223511763","1008","Agriculture"
"Cereal flours","82137","0.0005718146050787054","1102","Agriculture"
"Worked cereal grains","333325","0.0023205145456719803","1104","Agriculture"
"Flour of dried legumes","34927","0.00024315191340789098","1106","Agriculture"
"Peanuts","100223","0.0006977242310384247","1202","Agriculture"
"Other oil seeds","7879973","0.054858147351691214","1207","Agriculture"
"Seeds used for sowing","678846","0.004725934200168728","1209","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1777292","0.01237300513884781","1211","Agriculture"
"Vegetable saps and extracts","430097","0.0029942138889968704","1302","Agriculture"
"Palm oil","328569","0.0022874046163861004","1511","Agriculture"
"Coconut & palm kernel oil","1862147","0.01296374169258064","1513","Agriculture"
"Margarine","8934","0.00006219598575274424","1517","Agriculture"
"Animal or vegetable fats and oils, processed","70247","0.0004890397818640054","1518","Agriculture"
"Stearic acid","288326","0.002007244211791553","1519","Agriculture"
"Degras and wax residues","33936","0.00023625285118705267","1522","Agriculture"
"Other prepared or preserved meat","1660524","0.01156009928879448","1602","Agriculture"
"Prepared aquatic invertibrates","40620944","0.2827915440213814","1605","Agriculture"
"Sugarcane & sucrose","3688","0.000025674814803684886","1701","Agriculture"
"Confectionery sugar","5510","0.000038359064416568254","1704","Agriculture"
"Cocoa beans","36525056","0.25427712811665387","1801","Agriculture"
"Cocoa paste","216580","0.0015077688151252909","1803","Agriculture"
"Cocoa butter","4014132","0.02794525371408493","1804","Agriculture"
"Cocoa powder","609318","0.004241899893316612","1805","Agriculture"
"Chocolates","955938","0.0066549704755436345","1806","Agriculture"
"Malt extract","427567","0.0029766007432665766","1901","Agriculture"
"Pasta","68480","0.00047673842672351973","1902","Agriculture"
"Cereal foods","52547","0.0003658173789287499","1904","Agriculture"
"Bakery products","1830781","0.012745380455831078","1905","Agriculture"
"Other vegetables, frozen","35645","0.0002481504267021008","2004","Agriculture"
"Other vegetables, prepared or preserved","1339","0.000009321739973463683","2005","Agriculture"
"Jams, jellies and marmalades","94259","0.0006562045467951555","2007","Agriculture"
"Fruits and nuts, otherwise prepared","432639","0.003011910575339323","2008","Agriculture"
"Fruit juices","823489","0.005732897930550884","2009","Agriculture"
"Coffee extracts","169047","0.0011768574886438501","2101","Agriculture"
"Sauces and seasonings","320264","0.00222958755105405","2103","Agriculture"
"Food preparations n.e.c.","426158","0.002966791683055516","2106","Agriculture"
