"Name","Gross Export","Share","Code","Sector"
"Solid soybean residues","303445","0.0007977946937075755","2304","Agriculture"
"Animal feed","79178","0.0002081688222194415","2309","Agriculture"
"Cigars and cigarettes","76453","0.00020100445786888987","2402","Agriculture"
"Sulphur, crude","19712716","0.05182718523410973","2503","Minerals"
"Natural sands","2056","0.000005405480038434561","2505","Minerals"
"Marble","4767","0.000012533036645533831","2515","Minerals"
"Granite","468185","0.0012309166691607419","2516","Minerals"
"Gravel","2866688","0.007536879747285942","2517","Minerals"
"Quicklime","17602","0.00004627785001776515","2522","Minerals"
"Cements","3312032","0.008707744583004133","2523","Minerals"
"Mineral substances n.e.c.","5372","0.000014123656987582911","2530","Minerals"
"Iron ores and concentrates","286786592","0.7539976645655043","2601","Minerals"
"Nickel ore","23055","0.00006061446609246538","2604","Minerals"
"Slag, ash and residues containing metals","1185212","0.0031160699451911983","2620","Minerals"
"Coal","91637184","0.24092556852643726","2701","Minerals"
"Coke","2851606","0.007497227291089604","2704","Minerals"
"Oils etc. from high temperature coal tar","14104550","0.037082618422228694","2707","Minerals"
"Pitch and pitch coke","58252","0.0001531517622562695","2708","Minerals"
"Petroleum oils, crude","27030556672","71.06669966841933","2709","Minerals"
"Petroleum oils, refined","5515262464","14.500311846244852","2710","Minerals"
"Petroleum gases","9288528","0.024420696833871842","2711","Minerals"
"Petroleum jelly","86949","0.00022859974896004216","2712","Minerals"
"Petroleum coke","382754112","1.0063082257026976","2713","Minerals"
"Bitumen and asphalt, natural","71652536","0.18838344020000672","2714","Minerals"
"Bituminous mixtures","2514228","0.0066102185146270686","2715","Minerals"
"Electrical energy","38566404","0.10139587887947607","2716","Minerals"
"Sulfur, sublimed or precipitated","10049","0.000026420072425208613","2802","Chemicals"
"Carbon","17643376","0.04638663267441411","2803","Chemicals"
"Silicon & rare gases","519861","0.001366779308492524","2804","Chemicals"
"Phosphoric acid etc.","4304","0.000011315751987073128","2809","Chemicals"
"Other inorganic acids","771151","0.00202745201221734","2811","Chemicals"
"Ammonia","98847744","0.25988302871414865","2814","Chemicals"
"Sodium hydroxide","7779","0.00002045195973685917","2815","Chemicals"
"Aluminum oxide","57884684","0.1521860427495586","2818","Chemicals"
"Metal base oxides, n.e.c.","4167","0.000010955561926146313","2825","Chemicals"
"Chlorides, bromides, iodides etc.","293847","0.00077256035644644","2827","Chemicals"
"Sulfates","220844","0.0005806263782140283","2833","Chemicals"
"Phosphates","12170763","0.03199845158026164","2835","Chemicals"
"Carbonates","5753","0.000015125353434393983","2836","Chemicals"
"Uranium","6155","0.000016182261496383624","2844","Chemicals"
"Hydrogen peroxide","2543780","0.006687914402805967","2847","Chemicals"
"Carbides","14346343","0.037718322330270136","2849","Chemicals"
"Acyclic hydrocarbons","73673240","0.19369612265894876","2901","Chemicals"
"Cyclic hydrocarbons","9358356","0.024604283341714158","2902","Chemicals"
"Halogenated derivatives of hydrocarbons","51071","0.0001342720189897332","2903","Chemicals"
"Sulfonated, nitrated derivatives of hydrocarbons","142682","0.0003751287465194164","2904","Chemicals"
"Acyclic alcohols","471845152","1.2405396645759346","2905","Chemicals"
"Phenols, phenol-alcohols","27852","0.00007322637647396858","2907","Chemicals"
"Ethers","2904526","0.007636360561339583","2909","Chemicals"
"Aldehydes","6356","0.00001671071552737844","2912","Chemicals"
"Ketones and quinones","7400","0.00001945552153911272","2914","Chemicals"
"Saturated acyclic monocarboxylic acids","34641","0.00009107550292383835","2915","Chemicals"
"Unsaturated acyclic monocarboxylic acids","138650","0.0003645281164051323","2916","Chemicals"
"Polycarboxylic acids","56505","0.0001485586816983195","2917","Chemicals"
"Carboxylic acids with additional oxygen function","8184","0.000021516755172445744","2918","Chemicals"
"Oxygen-function amino-compounds","23151","0.00006086686204756738","2922","Chemicals"
"Quaternary ammonium salts and hydroxides","3123","0.000008210755914412031","2923","Chemicals"
"Carboxyamide-function compounds","1114332","0.002929717598340886","2924","Chemicals"
"Isocyanates","48073","0.00012638990364186026","2929","Chemicals"
"Other organo-inorganic compounds","23361","0.00006141897819935301","2931","Chemicals"
"Heterocyclic compounds with oxygen hetero-atom(s) only","11950","0.00003141803816113473","2932","Chemicals"
"Heterocyclic compounds with nitrogen hetero-atom(s) only","96182","0.00025287445576688375","2933","Chemicals"
"Nucleic acids and their salts","27490","0.00007227463339327145","2934","Chemicals"
"Sulfonamides","2605404","0.006849931572985196","2935","Chemicals"
"Vitamins","6771","0.00001780180220828814","2936","Chemicals"
"Glycosides","2269345","0.005966390611780778","2938","Chemicals"
"Antibiotics","211473","0.0005559888522217276","2941","Chemicals"
"Serums and vaccines","280239","0.0007367832298107311","3002","Chemicals"
"Medicaments, not packaged","49578","0.0001303467360629906","3003","Chemicals"
"Medicaments, packaged","12346840","0.03246137994053764","3004","Chemicals"
"Pharmaceutical goods","8272","0.000021748118131289248","3006","Chemicals"
"Animal or vegetable fertilizers","774593","0.0020365014588575596","3101","Chemicals"
"Nitrogenous fertilizers","153854768","0.4045033449620528","3102","Chemicals"
"Mixed fertilizers","884962","0.002326675304364361","3105","Chemicals"
"Vegetable tanning extracts","14828","0.000038984658565130196","3201","Chemicals"
"Synthetic tanning substances","15552","0.000040888144726524465","3202","Chemicals"
"Synthetic organic coloring matter","28370","0.00007458826298170648","3204","Chemicals"
"Other coloring matter","73727","0.0001938374643938059","3206","Chemicals"
"Prepared pigments","15658","0.000041166831926949596","3207","Chemicals"
"Paints and varnishes, nonaqueous","137422","0.0003612995514794525","3208","Chemicals"
"Paints and varnishes, aqueous","24702","0.00006494463419718411","3209","Chemicals"
"Other paints and varnishes","2874","0.000007556103905866211","3210","Chemicals"
"Pigments, nonaqueous","97367","0.0002559899683376741","3212","Chemicals"
"Artists' colors","85916","0.00022588386331816331","3213","Chemicals"
"Glaziers' putty","12941","0.00003402350057265645","3214","Chemicals"
"Ink","1524","0.000004006785787244296","3215","Chemicals"
"Essential oils","1113432","0.0029273513862618046","3301","Chemicals"
"Mixtures of odoriferous subtances","13901","0.00003654746012367648","3302","Chemicals"
"Perfumes","18937","0.000049787731268402375","3303","Chemicals"
"Make-up preparations","82746","0.0002175495385507326","3304","Chemicals"
"Hair products","272156","0.0007155320162160489","3305","Chemicals"
"Dental hygiene products","10010","0.000026317536568448424","3306","Chemicals"
"Toiletries","65605","0.00017248371494236353","3307","Chemicals"
"Soap","159159","0.00041844883143832994","3401","Chemicals"
"Cleaning products","882197","0.002319405775032517","3402","Chemicals"
"Lubricants","86390","0.00022713006834647947","3403","Chemicals"
"Artificial and prepared waxes","986198","0.0025928373555175526","3404","Chemicals"
"Polishes and creams","199939","0.0005256645298660349","3405","Chemicals"
"Candles","24258","0.00006377730290483734","3406","Chemicals"
"Albumins","1122","0.0000029498777252546587","3502","Chemicals"
"Gelatin","103644","0.00027249298302699985","3503","Chemicals"
"Peptones","47627","0.00012521731410044886","3504","Chemicals"
"Glues and adhesives","187477","0.0004929003799443563","3506","Chemicals"
"Motion-picture film","2643","0.000006948776138902017","3706","Chemicals"
"Chemical preparations for photographic uses","8703","0.00002288127080471595","3707","Chemicals"
"Artificial graphite","5191","0.000013647785447234344","3801","Chemicals"
"Insecticides, rodenticides, fungicides, etc.","977446","0.0025698272576107533","3808","Chemicals"
"Finishing agents","10339","0.000027182518539579248","3809","Chemicals"
"Anti-knock","707212","0.001859348418745809","3811","Chemicals"
"Stabilizers for rubber or plastic","776578","0.0020417202710542","3812","Chemicals"
"Preparations for fire extinguishers","1028","0.0000027027400192172805","3813","Chemicals"
"Catalytic preparations","3080","0.000008097703559522593","3815","Chemicals"
"Refractory cements","3074","0.000008081928812328718","3816","Chemicals"
"Mixed alkylbenzenes","2238545","0.005885413576185552","3817","Chemicals"
"Hydraulic fluids","363312","0.0009551924920835298","3819","Chemicals"
"Diagnostic or laboratory reagents","85420","0.0002245798175501363","3822","Chemicals"
"Industrial monocarboxylic fatty acids","930566","0.002446573899535942","3823","Chemicals"
"Polymers of ethylene","1549596","0.004074080858773367","3901","Chemicals"
"Polymers of propylene","618103","0.0016250697607959716","3902","Chemicals"
"Polymers of styrene","38929","0.00010234918891839448","3903","Chemicals"
"Polymers of vinyl chloride","4725972","0.012425168924222112","3904","Chemicals"
"Acrylic polymers","243196","0.000639392569760278","3906","Chemicals"
"Polyacetals","5340892","0.014041870181631734","3907","Chemicals"
"Amino-resins","21260","0.000055895187556964384","3909","Chemicals"
"Silicones in primary forms","20488","0.00005386550341801911","3910","Chemicals"
"Petroleum resins","1567","0.000004119838142133734","3911","Chemicals"
"Plastic waste","5444980","0.01431553049595108","3915","Chemicals"
"Plastic tubes and fittings","3252096","0.008550165375035449","3917","Chemicals"
"Plastic floor coverings","62943","0.00016548498543734756","3918","Chemicals"
"Self-adhesive plastic sheets","85812","0.00022561043436680284","3919","Chemicals"
"Other plates of plastics, noncellular and not reinforced","2369752","0.006230373118696683","3920","Chemicals"
"Other plastic plates, sheets etc.","62550","0.00016445173949614875","3921","Chemicals"
"Baths, sinks etc.","46547","0.00012237785960555133","3922","Chemicals"
"Packing lids","2612817","0.006869421273143227","3923","Chemicals"
"Plastic household articles","2421318","0.006365946554329911","3924","Chemicals"
"Plastic builders' ware","288599","0.0007587627109008638","3925","Chemicals"
"Other articles of plastic","2281843","0.005999249410185621","3926","Chemicals"
"Natural rubber","10569","0.00002778721718201113","4001","Chemicals"
"Scrap of rubber","25090","0.00006596473451572138","4004","Chemicals"
"Compounded rubber","31028","0.00008157647598859318","4005","Chemicals"
"Vulcanized rubber thread and cord","3605","0.000009477993938986672","4007","Chemicals"
"Vulcanized rubber plates","12404","0.00003261166069880462","4008","Chemicals"
"Vulcanized rubber tubes","3326","0.000008744468194471473","4009","Chemicals"
"Conveyor belts of vulcanized rubber","70579","0.00018556098036608606","4010","Chemicals"
