"Name","Gross Export","Share","Code","Sector"
"Horses","46945","0.00018337602434535179","0101","Agriculture"
"Other live animals","205216","0.0008016124020035299","0106","Agriculture"
"Live Fish","59806","0.00023361351607195885","0301","Agriculture"
"Fish, excluding fillets","14341181","0.05601935789108736","0302","Agriculture"
"Frozen fish, excluding fillets","4624662","0.01806480203431725","0303","Agriculture"
"Fish fillets","410732","0.0016043966605903722","0304","Agriculture"
"Preserved fish","3342105","0.013054892487905461","0305","Agriculture"
"Crustaceans","60000032","0.2343714416605365","0306","Agriculture"
"Molluscs","136186","0.0005319682021833226","0307","Agriculture"
"Fermented milk products","1375","0.000005371009340182313","0403","Agriculture"
"Cheese","624959","0.0024412077281679985","0406","Agriculture"
"Eggs, in shell","121559","0.00047483238136961586","0407","Agriculture"
"Whalebone & horns","29644","0.00011579505518571964","0507","Agriculture"
"Coral and shells","316308","0.0012355587071813724","0508","Agriculture"
"Animal products used in pharmaceuticals","961711","0.003756624555313507","0510","Agriculture"
"Animal products n.e.c.","114456","0.0004470867236653868","0511","Agriculture"
"Other live plants","17987","0.00007026061454680673","0602","Agriculture"
"Tomatoes","399735","0.001561440304434747","0702","Agriculture"
"Onions, shallots, garlic","1403","0.00000548038262129148","0703","Agriculture"
"Cucumbers","54117","0.00021139120906374273","0707","Agriculture"
"Other vegetables","162196","0.0006335681679565167","0709","Agriculture"
"Legumes, dried","309377","0.0012084849139182424","0713","Agriculture"
"Tubers","2373","0.000009269385574001913","0714","Agriculture"
"Cashew nuts & coconuts","321468","0.0012557146404143474","0801","Agriculture"
"Bananas and plantains","900948","0.0035192728167407813","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","1096272","0.004282245201003888","0804","Agriculture"
"Citrus fruit","162685","0.0006354782941873161","0805","Agriculture"
"Melons and papayas","700856","0.0027376757251802294","0807","Agriculture"
"Other fresh fruit","17207","0.00006721378743019422","0810","Agriculture"
"Spices","2222","0.000008679551093734618","0910","Agriculture"
"Wheat and meslin","8452","0.000033015106140524295","1001","Agriculture"
"Rice","19389","0.00007573709097948718","1006","Agriculture"
"Other cereals","198775","0.0007764526411598104","1008","Agriculture"
"Cereal flours","16445","0.00006423727170858047","1102","Agriculture"
"Worked cereal grains","88429","0.0003454203526858049","1104","Agriculture"
"Starches","60576","0.00023662128130246094","1108","Agriculture"
