"Name","Gross Export","Share","Code","Sector"
"Horses","19319","0.00032116210534364825","0101","Agriculture"
"Other live animals","74073","0.0012314012438076533","0106","Agriculture"
"Pork","7009","0.00011651872231241939","0203","Agriculture"
"Edible offal","208455","0.003465388822889911","0206","Agriculture"
"Live Fish","3121","0.000051883996623920805","0301","Agriculture"
"Fish, excluding fillets","29799514","0.49539182434171125","0302","Agriculture"
"Frozen fish, excluding fillets","54103344","0.8994225304193612","0303","Agriculture"
"Fish fillets","2255457","0.037495073173149165","0304","Agriculture"
"Preserved fish","1768093","0.029393057110790773","0305","Agriculture"
"Crustaceans","109901632","1.8270220774275512","0306","Agriculture"
"Molluscs","6452","0.00010725906639459694","0307","Agriculture"
"Milk, concentrated","34342","0.0005709068285993875","0402","Agriculture"
"Cheese","205677","0.0034192069124056902","0406","Agriculture"
"Bones, simply prepared","11084","0.0001842621655173144","0506","Agriculture"
"Animal products n.e.c.","4492208","0.07467917484971164","0511","Agriculture"
"Other live plants","5204","0.00008651211740816529","0602","Agriculture"
"Legumes, dried","23049158","0.38317284071009844","0713","Agriculture"
"Cashew nuts & coconuts","469012","0.00779692951764766","0801","Agriculture"
"Bananas and plantains","7165","0.00011911209093572334","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","195117","0.0032436558055974228","0804","Agriculture"
"Citrus fruit","4683","0.00007785093117264375","0805","Agriculture"
"Other fresh fruit","106022","0.0017625264626918717","0810","Agriculture"
"Fruits, dried","4043","0.00006721147015396085","0813","Agriculture"
"Coffee","4135469","0.06874868940542427","0901","Agriculture"
"Tea","43694","0.0007263759527348913","0902","Agriculture"
"Spices","132767","0.002207139564167925","0910","Agriculture"
"Rice","2662","0.000044253508174584164","1006","Agriculture"
"Other cereals","204166","0.0033940878099068938","1008","Agriculture"
"Cereal flours","7439820","0.12368074199377715","1102","Agriculture"
"Worked cereal grains","96547","0.0016050125671418398","1104","Agriculture"
"Peanuts","99916","0.0016610193549105002","1202","Agriculture"
"Other oil seeds","6029632","0.10023755409531716","1207","Agriculture"
"Seeds used for sowing","16250","0.00027014256492749537","1209","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1238591","0.020590532285299168","1211","Agriculture"
"Lac","34001","0.0005652379907753705","1301","Agriculture"
"Vegetable saps and extracts","23306","0.0003874426226584743","1302","Agriculture"
"Bovine, sheep and goat fats","3375","0.00005610653271571058","1502","Agriculture"
"Palm oil","473544","0.007872270200986208","1511","Agriculture"
"Coconut & palm kernel oil","1100122","0.01828860177311791","1513","Agriculture"
"Other vegetable fats and oils","10937","0.00018181841431458566","1515","Agriculture"
"Vegetable fats, hydrogenated","1484","0.000024670250237070966","1516","Agriculture"
"Margarine","305862","0.005084698165775606","1517","Agriculture"
"Stearic acid","361707","0.006013074260444897","1519","Agriculture"
"Degras and wax residues","21836","0.00036300511063118706","1522","Agriculture"
"Other prepared or preserved meat","2438256","0.04053395260245263","1602","Agriculture"
"Prepared aquatic invertibrates","36853088","0.6126515518657663","1605","Agriculture"
"Sugarcane & sucrose","2366","0.00003933275745344333","1701","Agriculture"
"Confectionery sugar","57815","0.0009611256856174244","1704","Agriculture"
"Cocoa beans","24355666","0.40489243592353186","1801","Agriculture"
"Cocoa paste","364091","0.0060527062527394905","1803","Agriculture"
"Cocoa butter","1795254","0.029844585861928976","1804","Agriculture"
"Cocoa powder","333149","0.005538321560801856","1805","Agriculture"
"Chocolates","1293810","0.02150850165715956","1806","Agriculture"
"Malt extract","448362","0.007453640658216719","1901","Agriculture"
"Pasta","4836","0.00008039442732242262","1902","Agriculture"
"Tapioca","17062","0.0002836413810949493","1903","Agriculture"
"Cereal foods","111163","0.0018479912581560105","1904","Agriculture"
"Bakery products","3394725","0.05643444422913796","1905","Agriculture"
"Other vegetables, prepared or preserved","8891","0.0001478053873704838","2005","Agriculture"
"Jams, jellies and marmalades","15301","0.0002543662391357297","2007","Agriculture"
"Fruits and nuts, otherwise prepared","432803","0.007194985386357834","2008","Agriculture"
"Fruit juices","448013","0.007447838827129969","2009","Agriculture"
"Coffee extracts","497378","0.008268490378985095","2101","Agriculture"
"Sauces and seasonings","452099","0.007515765136071123","2103","Agriculture"
"Soups and broths","3709","0.00006165900143483572","2104","Agriculture"
"Food preparations n.e.c.","196703","0.003270021719934346","2106","Agriculture"
"Waters, flavored or sweetened","1195405","0.019872601404747853","2202","Agriculture"
"Beer","136150","0.002263379090146369","2203","Agriculture"
"Ethyl alcohol > 80%","15321","0.0002546987222925635","2207","Agriculture"
"Spirits < 80% alcohol","56453020","0.9384839151201967","2208","Agriculture"
"Vinegars","5228","0.0000869110971963659","2209","Agriculture"
"Animal feed","37067","0.0006162076587179982","2309","Agriculture"
"Unmanufactured tobacco","176978","0.002942110206506971","2401","Agriculture"
"Cigars and cigarettes","664103","0.0110401530951412","2402","Agriculture"
"Other manufactured tobacco","14235","0.00023664488687648595","2403","Agriculture"
"Salt","8824","0.00014669156879509044","2501","Minerals"
"Sulphur, crude","128025","0.002128307807682621","2503","Minerals"
"Natural sands","1685","0.00002801170596325106","2505","Minerals"
"Kaolin","24721","0.00041096580600446847","2507","Minerals"
"Marble","5209","0.00008659523819737375","2515","Minerals"
"Granite","12884","0.00021418564963236004","2516","Minerals"
"Cements","6304077","0.10479997109418032","2523","Minerals"
"Iron ores and concentrates","76871504","1.2779240160242598","2601","Minerals"
"Slag, ash and residues containing metals","650076","0.010806966033095784","2620","Minerals"
"Coal","55326528","0.9197569343047933","2701","Minerals"
"Coke","179331","0.002981226849908472","2704","Minerals"
"Pitch and pitch coke","14479","0.0002407011813898588","2708","Minerals"
"Petroleum oils, crude","3817910016","63.46953873136092","2709","Minerals"
"Petroleum oils, refined","162185952","2.6962048657530864","2710","Minerals"
"Petroleum coke","55575","0.0009238875720520342","2713","Minerals"
"Bitumen and asphalt, natural","37647","0.0006258496702661796","2714","Minerals"
"Bituminous mixtures","859488","0.014288264175040194","2715","Minerals"
"Sulfur, sublimed or precipitated","7220","0.00012002641961701642","2802","Chemicals"
"Carbon","3560374","0.059188219351456406","2803","Chemicals"
"Aluminum oxide","14127453","0.2348570085730855","2818","Chemicals"
"Sulfates","327753","0.005448617605088086","2833","Chemicals"
"Hydrogen peroxide","1269170","0.021098882407940264","2847","Chemicals"
"Carbides","4402084","0.07318093924838699","2849","Chemicals"
"Halogenated derivatives of hydrocarbons","45634","0.0007586268189477738","2903","Chemicals"
"Sulfonated, nitrated derivatives of hydrocarbons","17001","0.0002826273074666061","2904","Chemicals"
"Acyclic alcohols","193436080","3.2157119261981655","2905","Chemicals"
"Ketones and quinones","3207","0.00005331367419830632","2914","Chemicals"
"Saturated acyclic monocarboxylic acids","1846","0.000030688195375763475","2915","Chemicals"
"Carboxylic acids with additional oxygen function","1178","0.000019583257937513205","2918","Chemicals"
"Carboxyamide-function compounds","187590","0.003118525769523007","2924","Chemicals"
"Heterocyclic compounds with oxygen hetero-atom(s) only","9217","0.00015322486282687539","2932","Chemicals"
"Sulfonamides","2131480","0.03543405995640972","2935","Chemicals"
"Glycosides","2352444","0.03910740036974135","2938","Chemicals"
"Serums and vaccines","498994","0.00829535501805727","3002","Chemicals"
"Medicaments, not packaged","45598","0.0007580283492654729","3003","Chemicals"
"Medicaments, packaged","767630","0.01276120228401805","3004","Chemicals"
"Wadding, gauze and bandages","237522","0.003948603218874373","3005","Chemicals"
"Animal or vegetable fertilizers","440407","0.007321395482586059","3101","Chemicals"
"Nitrogenous fertilizers","43748632","0.7272841637260986","3102","Chemicals"
"Mixed fertilizers","49588","0.0008243587390538242","3105","Chemicals"
"Other coloring matter","54982","0.0009140294464519109","3206","Chemicals"
"Paints and varnishes, nonaqueous","33965","0.0005646395210930697","3208","Chemicals"
"Paints and varnishes, aqueous","15545","0.0002584225336491025","3209","Chemicals"
"Essential oils","79798","0.0013265745474513402","3301","Chemicals"
"Mixtures of odoriferous subtances","80645","0.0013406552091432533","3302","Chemicals"
"Perfumes","31674","0.0005265535754777531","3303","Chemicals"
"Make-up preparations","44129","0.0007336074613960273","3304","Chemicals"
"Hair products","97632","0.0016230497784000758","3305","Chemicals"
"Dental hygiene products","55925","0.0009297060272966264","3306","Chemicals"
"Toiletries","16691","0.0002774738185356816","3307","Chemicals"
"Cleaning products","342071","0.005686642297065433","3402","Chemicals"
"Lubricants","20192","0.00033567499513944535","3403","Chemicals"
"Artificial and prepared waxes","51949","0.0008636083757180591","3404","Chemicals"
"Polishes and creams","29459","0.0004897310658584054","3405","Chemicals"
"Candles","9586","0.00015935917707045975","3406","Chemicals"
"Gelatin","35507","0.0005902739724849587","3503","Chemicals"
"Glues and adhesives","18483","0.00030726430938799365","3506","Chemicals"
"Fireworks","72449","0.0012044036114727454","3604","Chemicals"
"Insecticides, rodenticides, fungicides, etc.","431987","0.007181420073559012","3808","Chemicals"
"Finishing agents","4770","0.00007929723290487095","3809","Chemicals"
"Diagnostic or laboratory reagents","14363","0.00023877277908022256","3822","Chemicals"
"Industrial monocarboxylic fatty acids","453218","0.007534367568695975","3823","Chemicals"
"Polymers of ethylene","283766","0.0047173707741055785","3901","Chemicals"
"Polymers of propylene","133328","0.002216465716717114","3902","Chemicals"
"Polymers of vinyl chloride","131574","0.0021873069438627865","3904","Chemicals"
"Polyacetals","946528","0.015735230873581068","3907","Chemicals"
"Amino-resins","22340","0.0003713836861833998","3909","Chemicals"
"Natural polymers","3404","0.00005658863329311965","3913","Chemicals"
"Plastic waste","821451","0.013655931083215755","3915","Chemicals"
"Plastic tubes and fittings","657767","0.010934822431056238","3917","Chemicals"
"Plastic floor coverings","34418","0.000572170264595356","3918","Chemicals"
"Self-adhesive plastic sheets","40197","0.0006682412727624943","3919","Chemicals"
"Other plates of plastics, noncellular and not reinforced","227640","0.0037843232910827725","3920","Chemicals"
"Other plastic plates, sheets etc.","165458","0.0027505999081706787","3921","Chemicals"
"Baths, sinks etc.","3735","0.00006209122953871971","3922","Chemicals"
"Packing lids","1306515","0.021719711582538253","3923","Chemicals"
"Plastic household articles","423163","0.007034728504763921","3924","Chemicals"
"Plastic builders' ware","72934","0.0012124663280259661","3925","Chemicals"
"Other articles of plastic","1273958","0.021178478875686288","3926","Chemicals"
"Scrap of rubber","34898","0.0005801498603593682","4004","Chemicals"
"Unvulcanized rubber rods","53375","0.0008873144248003117","4006","Chemicals"
"Vulcanized rubber tubes","16225","0.0002697269609814531","4009","Chemicals"
"Conveyor belts of vulcanized rubber","6026","0.00010017717515403613","4010","Chemicals"
"New pneumatic tires of rubber","8604","0.00014303425406991818","4011","Chemicals"
"Used pneumatic tires of rubber","208003","0.0034578747035454663","4012","Chemicals"
"Rubber inner tubes","323200","0.005372927814434863","4013","Chemicals"
"Other articles of vulcanized rubber","453246","0.007534833045115544","4016","Chemicals"
"Hard rubber","56780","0.0009439196822512731","4017","Chemicals"
"Raw hides of bovines or equines","222968","0.0037066552256463875","4101","Agriculture"
"Other raw hides and skins","369911","0.006149458851378139","4103","Agriculture"
"Tanned hides of bovines or equines","2885110","0.04796252403064408","4104","Agriculture"
"Tanned skins of other animals","5848","0.00009721807505821496","4106","Agriculture"
"Bovine leather further prepared","228934","0.0038058349513299216","4107","Agriculture"
"Saddlery and harnesses","1274","0.00002117917709031564","4201","Agriculture"
"Trunks or cases","124225","0.0020651360078841915","4202","Agriculture"
"Leather apparel","54928","0.0009131317419284595","4203","Agriculture"
"Furskin apparel","6185","0.00010282041625086518","4303","Agriculture"
"Wood charcoal","4488952","0.0746250465917791","4402","Agriculture"
"Wood in the rough","1704210","0.028331056035389966","4403","Agriculture"
"Wood sawn lengthwise","5193392","0.08633576834178062","4407","Agriculture"
"Wood shaped along its edges","18481","0.00030723106107231034","4409","Agriculture"
"Particle board and similar board","56832","0.000944784138459041","4410","Agriculture"
"Fiberboard of wood","989143","0.016443669360004774","4411","Agriculture"
"Packing boxes","2489","0.00004137752886797145","4415","Agriculture"
"Wooden tools","9005","0.00014970054136443668","4417","Agriculture"
"Wood marquetry, ornaments, etc.","20587","0.0003422415374869137","4420","Agriculture"
"Other articles of wood","22349","0.0003715333036039751","4421","Agriculture"
"Paper waste","14958","0.0002486641529960293","4707","Agriculture"
"Newsprint","5097","0.00008473333251910424","4801","Agriculture"
"Paper used for graphic purposes","1337","0.000022226499034342238","4802","Agriculture"
"Tissue","873656","0.014523795243341287","4803","Agriculture"
"Other uncoated paper and paperboard","19314","0.00032107898455443974","4805","Agriculture"
"Corrugated paper and paperboard","1011","0.000016807023577950637","4808","Agriculture"
"Carbon paper","8314","0.0001382132482958275","4809","Agriculture"
"Cellulose wadding, coated","7896","0.00013126435031800022","4811","Agriculture"
"Toilet paper","119722","0.0019902774251230526","4818","Agriculture"
"Cardboard packing containers","22393","0.0003722647665490095","4819","Agriculture"
"Notebooks","19904","0.000330887237681038","4820","Agriculture"
"Paper labels","107818","0.0017923834501755507","4821","Agriculture"
"Other paper cut to size","4013406","0.06671949482679382","4823","Agriculture"
"Books, brochures etc.","76589","0.0012732276249373504","4901","Agriculture"
"Newspapers, journals and periodicals","3162","0.00005256558709543018","4902","Agriculture"
"Unused stamps","39687","0.0006597629522632314","4907","Agriculture"
