"Name","Gross Export","Share","Code","Sector"
"Horses","93114","0.00036693544452454877","0101","Agriculture"
"Fowl","11169","0.00004401381081142133","0105","Agriculture"
"Other live animals","224885","0.0008862069875840707","0106","Agriculture"
"Pork","129233","0.0005092700163481433","0203","Agriculture"
"Edible offal","65518","0.0002581875599196618","0206","Agriculture"
"Poultry","48042","0.00018931967938063418","0207","Agriculture"
"Live Fish","191308","0.0007538897053193116","0301","Agriculture"
"Fish, excluding fillets","25670782","0.10116115519108602","0302","Agriculture"
"Frozen fish, excluding fillets","7723290","0.030435260533775824","0303","Agriculture"
"Fish fillets","1529051","0.0060255494166903565","0304","Agriculture"
"Preserved fish","2450880","0.009658211893768136","0305","Agriculture"
"Crustaceans","74929160","0.2952742297876908","0306","Agriculture"
"Molluscs","748574","0.002949914443043147","0307","Agriculture"
"Milk, concentrated","9584","0.00003776778250663998","0402","Agriculture"
"Fermented milk products","39588","0.00015600490128055757","0403","Agriculture"
"Butter","19857","0.00007825071548772434","0405","Agriculture"
"Cheese","829183","0.0032675712857056826","0406","Agriculture"
"Eggs, in shell","1462","0.000005761320745482852","0407","Agriculture"
"Honey","7473","0.000029448939761281363","0409","Agriculture"
"Whalebone & horns","27263","0.00010743562755410329","0507","Agriculture"
"Coral and shells","407698","0.0016066203456168726","0508","Agriculture"
"Animal products used in pharmaceuticals","172704","0.000680576701797449","0510","Agriculture"
"Animal products n.e.c.","206123","0.0008122713515876621","0511","Agriculture"
"Other live plants","46206","0.0001820845323979348","0602","Agriculture"
"Cut flowers","2458","0.000009686269762241349","0603","Agriculture"
"Other parts of plants","1102","0.000004342664474365324","0604","Agriculture"
"Potatoes","2272","0.000008953297355497291","0701","Agriculture"
"Tomatoes","506438","0.001995726235089497","0702","Agriculture"
"Onions, shallots, garlic","21531","0.00008484746714842085","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","9710","0.00003826431220153112","0704","Agriculture"
"Carrots & turnips","3740","0.000014738262372165437","0706","Agriculture"
"Cucumbers","186123","0.0007334571143033549","0707","Agriculture"
"Legumes","1204","0.00000474461708451529","0708","Agriculture"
"Other vegetables","349464","0.0013771369309161555","0709","Agriculture"
"Vegetables, dried","1108","0.000004366308745550616","0712","Agriculture"
"Legumes, dried","816193","0.0032163814385895253","0713","Agriculture"
"Tubers","25672","0.00010116595497813666","0714","Agriculture"
"Cashew nuts & coconuts","628703","0.0024775373711677876","0801","Agriculture"
"Bananas and plantains","1129336","0.004450387773885515","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","1285893","0.0050673338012114785","0804","Agriculture"
"Citrus fruit","667184","0.002629179904414659","0805","Agriculture"
"Melons and papayas","942667","0.0037147790309042983","0807","Agriculture"
"Other fresh fruit","422505","0.0016649704661903094","0810","Agriculture"
"Fruits and nuts, frozen","5329","0.00002100005352440364","0811","Agriculture"
"Coffee","1719799","0.006777232323365707","0901","Agriculture"
"Pepper","41700","0.0001643276847377804","0904","Agriculture"
"Spices","7024","0.000027679560134248667","0910","Agriculture"
"Corn","10145","0.0000399785218624648","1005","Agriculture"
"Other cereals","8455","0.000033318718811940846","1008","Agriculture"
"Cereal flours","65247","0.0002571196270044594","1102","Agriculture"
"Worked cereal grains","299642","0.0011808027844172181","1104","Agriculture"
"Flour of dried legumes","74266","0.0002926609073078177","1106","Agriculture"
"Peanuts","142559","0.0005617839426506771","1202","Agriculture"
"Other oil seeds","19181192","0.0755875508841927","1207","Agriculture"
"Seeds used for sowing","39891","0.0001571989369754148","1209","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","890282","0.003508344839897377","1211","Agriculture"
"Forage products","40132","0.00015814864853469073","1214","Agriculture"
"Lac","54921","0.00021642783629457165","1301","Agriculture"
"Vegetable saps and extracts","19571","0.00007712367189455876","1302","Agriculture"
"Vegetable products n.e.c.","4551","0.00001793417969404409","1404","Agriculture"
"Coconut & palm kernel oil","1820698","0.007174846209753173","1513","Agriculture"
"Other vegetable fats and oils","16244","0.00006401292352231427","1515","Agriculture"
"Margarine","1672","0.000006588870236968077","1517","Agriculture"
"Animal or vegetable fats and oils, processed","87661","0.00034544674272898244","1518","Agriculture"
"Stearic acid","26949","0.00010619824402873965","1519","Agriculture"
"Other prepared or preserved meat","60797","0.00023958345920870107","1602","Agriculture"
"Prepared or preserved fish","62372","0.00024579008039484027","1604","Agriculture"
"Prepared aquatic invertibrates","26917962","0.10607593221389813","1605","Agriculture"
"Sugarcane & sucrose","3166","0.000012476293762105821","1701","Agriculture"
"Other sugars","3440","0.000013556048812900828","1702","Agriculture"
"Confectionery sugar","9778","0.000038532280608297764","1704","Agriculture"
"Cocoa beans","19302960","0.07606740348647446","1801","Agriculture"
"Cocoa paste","84772","0.0003340620261532643","1803","Agriculture"
"Cocoa butter","3667116","0.014451047528653962","1804","Agriculture"
"Cocoa powder","633260","0.002495495195133017","1805","Agriculture"
"Chocolates","1064461","0.004194734091694544","1806","Agriculture"
"Malt extract","82765","0.00032615301744178405","1901","Agriculture"
"Pasta","5209","0.000020527168100697796","1902","Agriculture"
"Cereal foods","83606","0.00032946715611958916","1904","Agriculture"
"Bakery products","186240","0.0007339181775914682","1905","Agriculture"
"Other vegetables, prepared or preserved","19262","0.00007590599192851621","2005","Agriculture"
"Jams, jellies and marmalades","134446","0.000529812947296298","2007","Agriculture"
"Fruits and nuts, otherwise prepared","25516","0.00010055120392731905","2008","Agriculture"
"Fruit juices","1044399","0.004115675530274655","2009","Agriculture"
"Coffee extracts","25597","0.00010087040158832051","2101","Agriculture"
"Sauces and seasonings","97342","0.00038359677428645135","2103","Agriculture"
"Soups and broths","5743","0.0000226315082361888","2104","Agriculture"
"Food preparations n.e.c.","41924","0.00016521040419536465","2106","Agriculture"
"Waters","5381","0.000021204970541342838","2201","Agriculture"
