"Name","Gross Export","Share","Code","Sector"
"Horses","195373","0.0003302562134607574","0101","Agriculture"
"Fowl","3000","0.000005071164594812344","0105","Agriculture"
"Other live animals","129351","0.00021865340383452384","0106","Agriculture"
"Live Fish","84646","0.00014308459943082857","0301","Agriculture"
"Fish, excluding fillets","12095753","0.0204465181203984","0302","Agriculture"
"Frozen fish, excluding fillets","2921393","0.004938288249710873","0303","Agriculture"
"Fish fillets","421006","0.0007116635738011886","0304","Agriculture"
"Preserved fish","3351276","0.005664957399548112","0305","Agriculture"
"Crustaceans","57800380","0.09770508020756652","0306","Agriculture"
"Molluscs","136006","0.00022990293729401593","0307","Agriculture"
"Butter","23567","0.0000398373786686475","0405","Agriculture"
"Cheese","563361","0.0009522987857660258","0406","Agriculture"
"Egg yolks","13094","0.000022133943068157613","0408","Agriculture"
"Coral and shells","9402","0.000015893029840141888","0508","Agriculture"
"Animal products used in pharmaceuticals","758882","0.0012828051766801273","0510","Agriculture"
"Animal products n.e.c.","778472","0.0013159198814842517","0511","Agriculture"
"Flower bulbs","1610","0.000002721524999215958","0601","Agriculture"
"Other live plants","32015","0.000054117778167639074","0602","Agriculture"
"Potatoes","2104","0.0000035565767691617243","0701","Agriculture"
"Tomatoes","504973","0.0008536003996453914","0702","Agriculture"
"Onions, shallots, garlic","19890","0.00003362182126360584","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","22710","0.00003838871598272945","0704","Agriculture"
"Carrots & turnips","1519","0.0000025676996731733173","0706","Agriculture"
"Cucumbers","138252","0.00023369954918733206","0707","Agriculture"
"Other vegetables","326720","0.0005522836321390297","0709","Agriculture"
"Vegetables, dried","14623","0.00002471854662331364","0712","Agriculture"
"Tubers","22532","0.00003808782688343725","0714","Agriculture"
"Cashew nuts & coconuts","1272136","0.002150403680995399","0801","Agriculture"
"Bananas and plantains","755924","0.0012778050083896422","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","1444898","0.002442438526905056","0804","Agriculture"
"Citrus fruit","573587","0.0009695846954815427","0805","Agriculture"
"Melons and papayas","850435","0.001437565287396412","0807","Agriculture"
"Other fresh fruit","71049","0.00012010039109894075","0810","Agriculture"
"Coffee","15650","0.00002645457530293773","0901","Agriculture"
"Tea","10256","0.000017336621361465137","0902","Agriculture"
"Pepper","89086","0.00015058992303115085","0904","Agriculture"
"Spices","3805","0.000006431927094420324","0910","Agriculture"
"Corn","34176","0.000057770707064102225","1005","Agriculture"
"Rice","535189","0.0009046771694443413","1006","Agriculture"
"Other cereals","495388","0.0008373980287649659","1008","Agriculture"
"Wheat or meslin flour","12771","0.000021587947680116153","1101","Agriculture"
"Cereal flours","76131","0.00012869094392255285","1102","Agriculture"
"Worked cereal grains","10296","0.000017404236889395965","1104","Agriculture"
"Starches","21988","0.00003716825570357794","1108","Agriculture"
"Soya beans","291320","0.000492443889920244","1201","Agriculture"
"Peanuts","1300","0.000002197504657752016","1202","Agriculture"
"Other oil seeds","29544228","0.04994121433822118","1207","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1264799","0.0021380013027846863","1211","Agriculture"
"Vegetable saps and extracts","70568","0.0001192873143755725","1302","Agriculture"
"Vegetable products n.e.c.","6412","0.000010838769127312251","1404","Agriculture"
"Pig and poultry fat, rendered","12151","0.000020539906997188266","1501","Agriculture"
"Fish oils","1162","0.000001964231086390648","1504","Agriculture"
"Soybean oil","80577","0.00013620640985206477","1507","Agriculture"
"Palm oil","218315","0.0003690370995054857","1511","Agriculture"
"Coconut & palm kernel oil","134989","0.00022818381249637454","1513","Agriculture"
"Other vegetable fats and oils","8574","0.000014493388411973681","1515","Agriculture"
"Animal or vegetable fats and oils, processed","318260","0.0005379829479816589","1518","Agriculture"
"Stearic acid","46972","0.00007940091444917515","1519","Agriculture"
"Other prepared or preserved meat","46694","0.00007893098653005588","1602","Agriculture"
"Prepared or preserved fish","39096","0.00006608741699959447","1604","Agriculture"
"Prepared aquatic invertibrates","24674518","0.04170951402521997","1605","Agriculture"
"Sugarcane & sucrose","1699","0.000002871969548862058","1701","Agriculture"
"Molasses","6342170","0.010720729319427002","1703","Agriculture"
"Confectionery sugar","106156","0.00017944484957563308","1704","Agriculture"
"Cocoa beans","18221856","0.030802010332989627","1801","Agriculture"
"Cocoa paste","55038","0.00009303558565642726","1803","Agriculture"
"Cocoa butter","3962044","0.006697392418629561","1804","Agriculture"
"Cocoa powder","10177","0.000017203080693801743","1805","Agriculture"
"Chocolates","820472","0.0013869161858116247","1806","Agriculture"
"Malt extract","16941","0.000028636866466905307","1901","Agriculture"
"Pasta","39318","0.0000664626831796106","1902","Agriculture"
"Cereal foods","15577","0.000026331176964463963","1904","Agriculture"
"Bakery products","41487","0.00007012913518165991","1905","Agriculture"
"Other vegetables, prepared or preserved","15156","0.000025619523532991966","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","2109","0.0000035650287101530783","2006","Agriculture"
"Jams, jellies and marmalades","15396","0.00002602521670057695","2007","Agriculture"
"Fruits and nuts, otherwise prepared","194391","0.0003285962522500555","2008","Agriculture"
"Fruit juices","3915","0.000006617869796230109","2009","Agriculture"
"Coffee extracts","10518","0.00001777950306941208","2101","Agriculture"
"Sauces and seasonings","63871","0.0001079667846117531","2103","Agriculture"
"Soups and broths","37960","0.00006416713600635887","2104","Agriculture"
"Food preparations n.e.c.","784993","0.0013269429029251756","2106","Agriculture"
"Waters, flavored or sweetened","188204","0.0003181378204673542","2202","Agriculture"
"Beer","107014","0.00018089520264974942","2203","Agriculture"
"Wine","6629","0.00001120558336633701","2204","Agriculture"
"Ethyl alcohol > 80%","810382","0.0013698601688910724","2207","Agriculture"
"Spirits < 80% alcohol","24928030","0.04213804771813999","2208","Agriculture"
"Vinegars","12846","0.00002171472679498646","2209","Agriculture"
"Cereal residues","19167","0.00003239967059625607","2302","Agriculture"
"Solid soybean residues","304502","0.0005147265871498495","2304","Agriculture"
"Solid vegetable oil and fat residues","22872","0.000038662558870849315","2306","Agriculture"
"Animal feed","85854","0.00014512658837433968","2309","Agriculture"
"Cigars and cigarettes","30930","0.00005228370697251527","2402","Agriculture"
"Salt","1784565","0.003016607615047097","2501","Minerals"
