"Name","Gross Export","Share","Code","Sector"
"Horses","152312","0.0005974774203382104","0101","Agriculture"
"Other live animals","124261","0.00048744118473033224","0106","Agriculture"
"Other meat","3200","0.000012552705926534174","0208","Agriculture"
"Live Fish","4239","0.00001662841263205574","0301","Agriculture"
"Fish, excluding fillets","27317788","0.10716004978981379","0302","Agriculture"
"Frozen fish, excluding fillets","35730548","0.14016095676184806","0303","Agriculture"
"Fish fillets","1793483","0.007035332713511967","0304","Agriculture"
"Preserved fish","1877734","0.0073658258469546","0305","Agriculture"
"Crustaceans","63775864","0.25017489562582423","0306","Agriculture"
"Molluscs","140558","0.0005513697623818096","0307","Agriculture"
"Fermented milk products","1275","0.00000500146876760346","0403","Agriculture"
"Butter","7573","0.000029706763119263534","0405","Agriculture"
"Cheese","114212","0.0004480217654004128","0406","Agriculture"
"Bones, simply prepared","2361","0.000009261543341420995","0506","Agriculture"
"Whalebone & horns","23048","0.00009041086443586239","0507","Agriculture"
"Coral and shells","193257","0.0007580932153888172","0508","Agriculture"
"Animal products used in pharmaceuticals","73429","0.0002880414510873368","0510","Agriculture"
"Animal products n.e.c.","1443762","0.00566347494184526","0511","Agriculture"
"Other live plants","3741","0.00001467489777223886","0602","Agriculture"
"Other parts of plants","31581","0.00012388343933308617","0604","Agriculture"
"Tomatoes","62665","0.0002458172865269575","0702","Agriculture"
"Onions, shallots, garlic","19055","0.00007474744107190896","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","8823","0.00003461016387181595","0704","Agriculture"
"Carrots & turnips","1234","0.000004840637222919741","0706","Agriculture"
"Cucumbers","56287","0.00022079817452713406","0707","Agriculture"
"Other vegetables","147820","0.000579856559393838","0709","Agriculture"
"Legumes, dried","988713","0.003878444854606682","0713","Agriculture"
"Tubers","43099","0.00016906533522740512","0714","Agriculture"
"Cashew nuts & coconuts","1051692","0.004125493875402681","0801","Agriculture"
"Bananas and plantains","521720","0.0020465617924973153","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","1158150","0.004543098865254861","0804","Agriculture"
"Citrus fruit","324468","0.0012727973083033407","0805","Agriculture"
"Melons and papayas","445555","0.001747787777842792","0807","Agriculture"
"Other fresh fruit","111130","0.00043593194050491963","0810","Agriculture"
"Fruits and nuts, frozen","8316","0.000032621344526580684","0811","Agriculture"
"Coffee","3488140","0.013682998640806535","0901","Agriculture"
"Pepper","40248","0.00015788165879098359","0904","Agriculture"
"Cinnamon","5209","0.00002043345161603641","0906","Agriculture"
"Spices","4410","0.000017299197855004907","0910","Agriculture"
"Rice","95552","0.00037482379896631047","1006","Agriculture"
"Other cereals","4272","0.000016757862411923124","1008","Agriculture"
"Cereal flours","67951","0.00026655278762935115","1102","Agriculture"
"Worked cereal grains","570455","0.0022377355810378288","1104","Agriculture"
"Flour of dried legumes","1789","0.000007017747157053011","1106","Agriculture"
"Peanuts","71548","0.000280662813634896","1202","Agriculture"
"Linseed","10763","0.00004222024183977729","1204","Agriculture"
"Other oil seeds","12995851","0.050979092458767215","1207","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","468732","0.0018387046732363176","1211","Agriculture"
"Vegetable products n.e.c.","2057","0.00000806903627840025","1404","Agriculture"
"Soybean oil","9177","0.00003599880696493879","1507","Agriculture"
"Palm oil","11751","0.00004609588979459471","1511","Agriculture"
"Coconut & palm kernel oil","1827783","0.007169882030162004","1513","Agriculture"
"Other vegetable fats and oils","35287","0.00013842104188425356","1515","Agriculture"
"Margarine","1948","0.000007641459732777678","1517","Agriculture"
"Animal or vegetable fats and oils, processed","46195","0.00018121007821132694","1518","Agriculture"
"Stearic acid","359103","0.001408660736355063","1519","Agriculture"
"Other prepared or preserved meat","834987","0.0032754207073371843","1602","Agriculture"
"Prepared or preserved fish","8450","0.0000331469890872543","1604","Agriculture"
"Prepared aquatic invertibrates","33880328","0.13290306064953802","1605","Agriculture"
"Sugarcane & sucrose","11692","0.00004586444927907424","1701","Agriculture"
"Confectionery sugar","35443","0.0001390329862981721","1704","Agriculture"
"Cocoa beans","20363166","0.07987901079099975","1801","Agriculture"
"Cocoa paste","168481","0.0006609038897526263","1803","Agriculture"
"Cocoa butter","3155075","0.01237647770348744","1804","Agriculture"
"Cocoa powder","361526","0.0014181654883738107","1805","Agriculture"
"Chocolates","737747","0.0028939753559946275","1806","Agriculture"
"Malt extract","295519","0.0011592384695948289","1901","Agriculture"
"Pasta","2206","0.000008653521648104497","1902","Agriculture"
"Cereal foods","31984","0.00012546429573570908","1904","Agriculture"
"Bakery products","300746","0.001179742530181702","1905","Agriculture"
"Other vegetables, prepared or preserved","27847","0.0001092360006050616","2005","Agriculture"
"Jams, jellies and marmalades","50698","0.00019887408908232174","2007","Agriculture"
"Fruits and nuts, otherwise prepared","20806","0.00008161612484608438","2008","Agriculture"
"Fruit juices","2261120","0.008869742007689047","2009","Agriculture"
"Coffee extracts","28355","0.00011122874267089891","2101","Agriculture"
"Sauces and seasonings","41712","0.00016362452175237296","2103","Agriculture"
"Food preparations n.e.c.","114844","0.0004505009248209033","2106","Agriculture"
"Waters, flavored or sweetened","633826","0.0024863223083098278","2202","Agriculture"
"Beer","183326","0.0007191366770899388","2203","Agriculture"
"Wine","34521","0.00013541623790308945","2204","Agriculture"
"Ethyl alcohol > 80%","2357902","0.009249390752995868","2207","Agriculture"
"Spirits < 80% alcohol","53144320","0.20847031894550894","2208","Agriculture"
"Vinegars","12137","0.0000476100599469829","2209","Agriculture"
"Cigars and cigarettes","28699","0.00011257815855800133","2402","Agriculture"
"Other manufactured tobacco","4626","0.000018146505505045967","2403","Agriculture"
"Sulphur, crude","542997","0.0021300255187469614","2503","Minerals"
"Natural sands","11246","0.00004411491589056354","2505","Minerals"
"Kaolin","225662","0.0008852089764979858","2507","Minerals"
"Marble","10971","0.00004303616772500201","2515","Minerals"
"Granite","82072","0.0003219455252507852","2516","Minerals"
"Gravel","41412","0.00016244770557176039","2517","Minerals"
