"Name","Gross Export","Share","Code","Sector"
"Horses","65677","0.00005190980770917352","0101","Agriculture"
"Fowl","869","6.868404905716124e-7","0105","Agriculture"
"Other live animals","48885","0.000038637741520820796","0106","Agriculture"
"Beef (frozen)","265329","0.00020971081763276797","0202","Agriculture"
"Lamb","128386","0.00010147376665423133","0204","Agriculture"
"Preserved meat","5647","0.000004463277618248441","0210","Agriculture"
"Fish, excluding fillets","16737942","0.013229339809481237","0302","Agriculture"
"Frozen fish, excluding fillets","11182248","0.00883822865594181","0303","Agriculture"
"Fish fillets","45601","0.00003604213257831542","0304","Agriculture"
"Preserved fish","1110671","0.0008778524907982317","0305","Agriculture"
"Crustaceans","61626204","0.048708138305438735","0306","Agriculture"
"Molluscs","177391","0.0001402063538124153","0307","Agriculture"
"Milk, concentrated","14462","0.000011430480062884533","0402","Agriculture"
"Butter","17949","0.000014186536208595938","0405","Agriculture"
"Cheese","485251","0.00038353283646762424","0406","Agriculture"
"Eggs, in shell","806","6.370465309559489e-7","0407","Agriculture"
"Bones, simply prepared","1142","9.026143155728208e-7","0506","Agriculture"
"Whalebone & horns","2770","0.0000021893534624664743","0507","Agriculture"
"Coral and shells","14075","0.000011124602882388313","0508","Agriculture"
"Animal products used in pharmaceuticals","785552","0.000620884834349265","0510","Agriculture"
"Animal products n.e.c.","575421","0.0004548014291429318","0511","Agriculture"
"Other live plants","149355","0.00011804725140313368","0602","Agriculture"
"Cut flowers","7014","0.000005543727503877203","0603","Agriculture"
"Other parts of plants","2806","0.000002217807153675425","0604","Agriculture"
"Potatoes","8951","0.000007074694166981015","0701","Agriculture"
"Tomatoes","361260","0.000285532791281819","0702","Agriculture"
"Onions, shallots, garlic","69822","0.000055185934099759627","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","13387","0.000010580821228172813","0704","Agriculture"
"Lettuce","3772","0.000002981314534448932","0705","Agriculture"
"Carrots & turnips","18649","0.000014739802426547755","0706","Agriculture"
"Cucumbers","98763","0.00007806033069082182","0707","Agriculture"
"Legumes","8504","0.000006721394167803214","0708","Agriculture"
"Other vegetables","247938","0.00019596531363791074","0709","Agriculture"
"Frozen vegetables","13579","0.000010732574247953883","0710","Agriculture"
"Vegetables, provisionally preserved","135431","0.0001070419959477607","0711","Agriculture"
"Vegetables, dried","3468","0.0000027410389197955714","0712","Agriculture"
"Legumes, dried","21674","0.000017130702868410965","0713","Agriculture"
"Tubers","85822","0.00006783201908151544","0714","Agriculture"
"Cashew nuts & coconuts","1196999","0.000946084442317295","0801","Agriculture"
"Bananas and plantains","718115","0.0005675839572920983","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","889415","0.0007029761046280215","0804","Agriculture"
"Citrus fruit","378606","0.000299242728162665","0805","Agriculture"
"Melons and papayas","763865","0.0006037438565368063","0807","Agriculture"
"Other fresh fruit","63026","0.00004981450950375885","0810","Agriculture"
"Fruits and nuts, frozen","878","6.9395391337385e-7","0811","Agriculture"
"Fruits and nuts, provisionally preserved","1023","8.085590585210121e-7","0812","Agriculture"
"Fruits, dried","1082","8.551914968912366e-7","0813","Agriculture"
"Coffee","901530","0.0007125515621001447","0901","Agriculture"
"Tea","1409","0.000001113645858705871","0902","Agriculture"
"Pepper","2763","0.0000021838208002869564","0904","Agriculture"
"Cinnamon","24993","0.000019753975121813935","0906","Agriculture"
"Anise, fennel, etc.","5295","0.000004185063748649813","0909","Agriculture"
"Spices","107636","0.00008507337519351676","0910","Agriculture"
"Oats","1241","9.80861966397435e-7","1004","Agriculture"
"Corn","16477","0.000013023096390274404","1005","Agriculture"
"Wheat or meslin flour","5910","0.000004671147640136052","1101","Agriculture"
"Cereal flours","58199","0.00004599934374082539","1102","Agriculture"
"Cereal meals","2557","0.0000020210024561468503","1103","Agriculture"
"Flour of dried legumes","1092","8.63095300004834e-7","1106","Agriculture"
"Starches","26975","0.000021320508898928937","1108","Agriculture"
"Sunflower seeds","779","6.15706262549236e-7","1206","Agriculture"
"Other oil seeds","9543876","0.007543291684458732","1207","Agriculture"
"Seeds used for sowing","9024","0.000007132391929710277","1209","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","153468","0.00012129808562375627","1211","Agriculture"
"Cereal straw and husks","1113","8.796932865433885e-7","1213","Agriculture"
"Forage products","205635","0.00016252985532645974","1214","Agriculture"
"Lac","7197","0.000005688367100856035","1301","Agriculture"
"Vegetable saps and extracts","227821","0.0001800652329142869","1302","Agriculture"
"Vegetable materials used for plaiting","815","6.441599537581865e-7","1401","Agriculture"
"Vegetable products n.e.c.","6496","0.000005134310502592859","1404","Agriculture"
"Soybean oil","707582","0.0005592588814725462","1507","Agriculture"
"Palm oil","5712058","0.004514698180544883","1511","Agriculture"
"Sunflower seed oil","147355","0.00011646649078041421","1512","Agriculture"
"Coconut & palm kernel oil","500755","0.00039578689281494564","1513","Agriculture"
"Rapeseed, colza or mustard oil,","1137","8.986624140160222e-7","1514","Agriculture"
"Other vegetable fats and oils","3405637","0.0026917484324382444","1515","Agriculture"
"Vegetable fats, hydrogenated","59544","0.00004706240525960425","1516","Agriculture"
"Margarine","4388","0.000003468188806246531","1517","Agriculture"
"Animal or vegetable fats and oils, processed","84766","0.00006699737747271955","1518","Agriculture"
"Stearic acid","1525088","0.0012053995282910001","1519","Agriculture"
"Degras and wax residues","426332","0.0003369644189026199","1522","Agriculture"
"Other prepared or preserved meat","11458","0.000009056177607559879","1602","Agriculture"
"Prepared or preserved fish","33858","0.000026760696582018014","1604","Agriculture"
"Prepared aquatic invertibrates","22570358","0.017839166583540754","1605","Agriculture"
"Sugarcane & sucrose","1115885","0.0008819735337416613","1701","Agriculture"
"Other sugars","8851","0.000006995656135845043","1702","Agriculture"
"Molasses","11171","0.000008829338458199635","1703","Agriculture"
"Confectionery sugar","119195","0.00009420938121252398","1704","Agriculture"
"Cocoa beans","14508118","0.011466930822083821","1801","Agriculture"
"Cocoa paste","76762","0.00006067117346059621","1803","Agriculture"
"Cocoa butter","4049139","0.003200359743558859","1804","Agriculture"
"Cocoa powder","6379","0.000005041836006163769","1805","Agriculture"
"Chocolates","934423","0.0007385495416817006","1806","Agriculture"
"Malt extract","9410","0.000007437478729895136","1901","Agriculture"
"Pasta","7486","0.000005916787010838999","1902","Agriculture"
"Tapioca","1062","8.393838906640418e-7","1903","Agriculture"
"Cereal foods","324880","0.00025677875555455174","1904","Agriculture"
"Bakery products","111274","0.0000879487787662435","1905","Agriculture"
"Tomatoes, prepared or preserved","5762","0.000004554171354054811","2002","Agriculture"
"Other vegetables, frozen","21143","0.000016711010923078942","2004","Agriculture"
"Other vegetables, prepared or preserved","24889","0.00001967177556943252","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","13215","0.000010444875814618938","2006","Agriculture"
"Jams, jellies and marmalades","41325","0.00003266246636694117","2007","Agriculture"
"Fruits and nuts, otherwise prepared","39068","0.000030878578004202245","2008","Agriculture"
"Fruit juices","82551","0.00006524668508305774","2009","Agriculture"
"Coffee extracts","10864","0.000008586691702612194","2101","Agriculture"
"Sauces and seasonings","267598","0.00021150419055924322","2103","Agriculture"
